1580232814.601,0.23,1.389,0.33,1.3812,0
1580232814.799,0.25,1.3862,0.33,1.3811,0
1580232814.973,0.25,1.3857,0.42,1.3786,0
1580232815.139,0.32,1.3844,0.43,1.3749,0
1580232815.305,0.33,1.3811,0.44,1.3693,0
1580232815.481,0.34,1.3776,0.4,1.3636,0
1580232815.686,0.3,1.3778,0.45,1.3503,0
1580232815.892,0.35,1.3686,0.35,1.3384,0
1580232816.096,0.35,1.3569,0.44,1.3128,0
1580232816.299,0.33,1.3568,0.37,1.3068,0
1580232816.492,0.33,1.3518,0.43,1.2799,0
1580232816.669,0.35,1.3395,0.48,1.2739,0
1580232816.835,0.37,1.344,0.43,1.2968,0
1580232817.015,0.35,1.3333,0.39,1.2855,0
1580232817.219,0.32,1.3434,0.39,1.2872,0
1580232817.425,0.3,1.3409,0.44,1.2894,0
1580232817.629,0.33,1.325,0.49,1.28,0
1580232817.831,0.38,1.3253,0.46,1.2771,0
1580232818.023,0.33,1.3369,0.51,1.2585,0
1580232818.19,0.37,1.3243,0.48,1.2388,0
1580232818.356,0.34,1.3184,0.5,1.2255,0
1580232818.523,0.34,1.3188,0.5,1.2198,0
1580232818.702,0.35,1.3061,0.5,1.2226,0
1580232818.87,0.39,1.3,0.56,1.2138,0
1580232819.05,0.43,1.2845,0.53,1.2069,0
1580232819.217,0.39,1.2907,0.51,1.1937,0
1580232819.387,0.42,1.2614,0.55,1.167,0
1580232819.556,0.43,1.261,0.59,1.1346,0
1580232819.724,0.44,1.2457,0.56,1.1122,0
1580232819.906,0.41,1.249,0.55,1.1496,0
1580232820.089,0.43,1.2515,0.55,1.1481,0
1580232820.256,0.43,1.2443,0.53,1.1557,0
1580232820.421,0.41,1.2689,0.58,1.1047,0
1580232820.593,0.45,1.2132,0.56,1.1024,0
1580232820.759,0.47,1.2181,0.6,1.0493,0
1580232820.925,0.46,1.1987,0.62,1.0448,0
1580232821.095,0.45,1.1762,0.58,1.0584,0
1580232821.259,0.5,1.1809,0.54,1.0809,0
1580232821.426,0.46,1.1963,0.62,1.0395,0
1580232821.595,0.47,1.1903,0.67,1.0119,0
1580232821.76,0.46,1.1811,0.62,1.0034,0
1580232821.927,0.55,1.1142,0.63,1.007,0
1580232822.105,0.49,1.1619,0.59,0.995,0
1580232822.273,0.5,1.1526,0.63,0.9999,0
1580232822.468,0.48,1.1626,0.6,1.009,0
1580232822.65,0.49,1.1476,0.59,1.0185,0
1580232822.817,0.52,1.1008,0.62,0.9928,0
1580232822.985,0.51,1.1182,0.62,0.9802,0
1580232823.157,0.51,1.1026,0.62,1.0077,0
1580232823.333,0.47,1.1453,0.63,0.9707,0
1580232823.504,0.52,1.0943,0.63,0.9729,0
1580232823.679,0.52,1.1087,0.61,0.9988,0
1580232823.709,0.49,1.0954,0.62,0.9832,0
1580232823.877,0.47,1.1364,0.67,0.9404,1
1580232824.048,0.5,1.1287,0.64,0.9411,1
1580232824.223,0.52,1.0831,0.64,0.9637,1
1580232824.396,0.48,1.1181,0.66,0.9514,1
1580232824.566,0.54,1.1027,0.64,0.9499,1
1580232824.736,0.54,1.0717,0.66,0.9596,1
1580232824.909,0.51,1.0941,0.61,0.9811,1
1580232825.077,0.49,1.1021,0.6,0.9556,1
1580232825.252,0.49,1.1036,0.65,0.9301,1
1580232825.451,0.53,1.0659,0.65,0.9405,1
1580232825.628,0.51,1.0815,0.63,0.9391,1
1580232825.798,0.5,1.0976,0.69,0.9159,1
1580232825.966,0.5,1.1288,0.63,0.9586,1
1580232826.137,0.55,1.0576,0.61,0.9909,1
1580232826.327,0.54,1.0781,0.64,0.9228,1
