1579052106.508,0.25,1.387,0.23,1.386,0
1579052107.256,0.24,1.3828,0.35,1.3743,0
1579052107.995,0.37,1.3732,0.36,1.3663,0
1579052108.731,0.35,1.3565,0.34,1.3551,0
1579052109.476,0.32,1.3341,0.36,1.3371,0
1579052110.209,0.37,1.3162,0.39,1.3268,0
1579052110.947,0.38,1.2892,0.37,1.3308,0
1579052111.683,0.4,1.2658,0.36,1.3257,0
1579052112.425,0.4,1.268,0.3,1.3284,0
1579052113.158,0.41,1.2486,0.33,1.344,0
1579052113.894,0.4,1.2934,0.31,1.3493,0
1579052114.639,0.37,1.278,0.3,1.3457,0
1579052115.0,0.38,1.2962,0.32,1.3118,0
1579052115.763,0.43,1.2418,0.36,1.3181,1
1579052116.501,0.42,1.2863,0.31,1.2952,1
1579052117.24,0.45,1.2404,0.35,1.3104,1
